Rank,County,State,County Effect on Household Income
2301,Wilkinson,Georgia,-10.80%
2302,Volusia,Florida,-10.80%
2303,New York,New York,-10.90%
2304,Chowan,North Carolina,-10.90%
2305,Galveston,Texas,-10.90%
2306,Floyd,Georgia,-10.90%
2307,Cherokee,South Carolina,-10.90%
2308,Passaic,New Jersey,-11.00%
2309,St John The Baptist,Louisiana,-11.10%
2310,Sandoval,New Mexico,-11.10%
2311,Morehouse,Louisiana,-11.20%
2312,Riverside,California,-11.20%
2313,Lee,Florida,-11.20%
2314,Washington,Georgia,-11.30%
2315,Franklin City,Virginia,-11.30%
2316,Emporia City,Virginia,-11.30%
2317,Barbour,Alabama,-11.30%
2318,Palm Beach,Florida,-11.30%
2319,Mitchell,Georgia,-11.30%
2320,Russell,Alabama,-11.30%
2321,Muscogee,Georgia,-11.30%
2322,Noxubee,Mississippi,-11.40%
2323,Durham,North Carolina,-11.40%
2324,Wake,North Carolina,-11.40%
2325,Cleveland,North Carolina,-11.40%
2326,Apache,Arizona,-11.40%
2327,Forrest,Mississippi,-11.40%
2328,McDuffie,Georgia,-11.50%
2329,Washington,North Carolina,-11.50%
2330,Coosa,Alabama,-11.50%
2331,Copiah,Mississippi,-11.60%
2332,Richmond,North Carolina,-11.60%
2333,Halifax,North Carolina,-11.60%
2334,Cumberland,New Jersey,-11.60%
2335,Seminole,Georgia,-11.60%
2336,Fulton,Georgia,-11.60%
2337,Berrien,Michigan,-11.70%
2338,Sumter,Alabama,-11.70%
2339,Kane,Illinois,-11.70%
2340,Wilcox,Alabama,-11.70%
2341,New Hanover,North Carolina,-11.70%
2342,Laurens,Georgia,-11.80%
2343,Lowndes,Mississippi,-11.80%
2344,Kemper,Mississippi,-11.80%
2345,Sussex,Delaware,-11.80%
2346,Dallas,Alabama,-11.90%
2347,Bullock,Alabama,-11.90%
2348,Randolph,Georgia,-11.90%
2349,Denver,Colorado,-12.00%
2350,Marion,Indiana,-12.10%
2351,Vance,North Carolina,-12.10%
2352,Wayne,North Carolina,-12.10%
2353,Pima,Arizona,-12.20%
2354,Union,South Carolina,-12.20%
2355,Aiken,South Carolina,-12.20%
2356,Neshoba,Mississippi,-12.30%
2357,Jefferson,Mississippi,-12.30%
2358,Bronx,New York,-12.30%
2359,Milwaukee,Wisconsin,-12.30%
2360,Perry,Alabama,-12.30%
2361,Jefferson,Oregon,-12.40%
2362,Rosebud,Montana,-12.40%
2363,Danville City,Virginia,-12.40%
2364,Bamberg,South Carolina,-12.50%
2365,Warren,Mississippi,-12.50%
2366,Wayne,Michigan,-12.50%
2367,Chicot,Arkansas,-12.60%
2368,Tipton,Tennessee,-12.60%
2369,Richmond,Georgia,-12.60%
2370,Bibb,Georgia,-12.60%
2371,Navajo,Arizona,-12.70%
2372,Lee,Arkansas,-12.70%
2373,Lauderdale,Tennessee,-12.70%
2374,Northampton,North Carolina,-12.80%
2375,Sharkey,Mississippi,-12.80%
2376,Madison,Mississippi,-12.90%
2377,Clay,Mississippi,-12.90%
2378,Tift,Georgia,-12.90%
2379,Lancaster,South Carolina,-12.90%
2380,Winston,Mississippi,-12.90%
2381,Fresno,California,-12.90%
2382,Glynn,Georgia,-13.00%
2383,Yalobusha,Mississippi,-13.00%
2384,Crisp,Georgia,-13.10%
2385,Putnam,Georgia,-13.10%
2386,Buncombe,North Carolina,-13.10%
2387,Dillon,South Carolina,-13.10%
2388,Meriwether,Georgia,-13.10%
2389,Jefferson,Louisiana,-13.10%
2390,Rowan,North Carolina,-13.20%
2391,Wilson,North Carolina,-13.20%
2392,Crittenden,Arkansas,-13.20%
2393,Bethel,Alaska,-13.20%
2394,Morgan,Georgia,-13.30%
2395,Jefferson,Georgia,-13.30%
2396,Georgetown,South Carolina,-13.30%
2397,Lauderdale,Mississippi,-13.30%
2398,Cook,Illinois,-13.30%
2399,Norfolk City,Virginia,-13.40%
2400,Macon,Alabama,-13.40%
2401,Orange,Florida,-13.50%
2402,Hillsborough,Florida,-13.50%
2403,Madison,Louisiana,-13.50%
2404,Oktibbeha,Mississippi,-13.60%
2405,McCormick,South Carolina,-13.80%
2406,Portsmouth City,Virginia,-13.80%
2407,Greene,Georgia,-13.80%
2408,Mecklenburg,North Carolina,-13.80%
2409,Hoke,North Carolina,-13.80%
2410,East Baton Rouge,Louisiana,-13.90%
2411,Charlottesville City,Virginia,-13.90%
2412,Haywood,Tennessee,-14.00%
2413,Marlboro,South Carolina,-14.00%
2414,Dougherty,Georgia,-14.10%
2415,Martinsville City,Virginia,-14.20%
2416,Brunswick,North Carolina,-14.30%
2417,Baldwin,Georgia,-14.30%
2418,Panola,Mississippi,-14.50%
2419,St Louis City,Missouri,-14.50%
2420,Will,Illinois,-14.50%
2421,Early,Georgia,-14.50%
2422,Gaston,North Carolina,-14.50%
2423,Terrell,Georgia,-14.60%
2424,Rolette,North Dakota,-14.70%
2425,Greene,Alabama,-14.70%
2426,Anson,North Carolina,-14.70%
2427,Northampton,Virginia,-14.70%
2428,Holmes,Mississippi,-14.70%
2429,Sumter,Georgia,-14.80%
2430,Richmond City,Virginia,-14.80%
2431,Escambia,Florida,-14.80%
2432,Petersburg City,Virginia,-14.80%
2433,Marion,South Carolina,-14.90%
2434,Edgefield,South Carolina,-15.00%
2435,East Carroll,Louisiana,-15.00%
2436,Burke,Georgia,-15.00%
2437,Gadsden,Florida,-15.00%
2438,Robeson,North Carolina,-15.00%
2439,Allendale,South Carolina,-15.10%
2440,Quitman,Mississippi,-15.20%
2441,Guilford,North Carolina,-15.20%
2442,Phillips,Arkansas,-15.50%
2443,Lee,South Carolina,-15.60%
2444,Madison,Tennessee,-15.70%
2445,Hancock,Georgia,-15.90%
2446,Tallahatchie,Mississippi,-15.90%
2447,Bolivar,Mississippi,-15.90%
2448,Fairfield,South Carolina,-16.00%
2449,Leflore,Mississippi,-16.00%
2450,Grenada,Mississippi,-16.10%
2451,Scotland,North Carolina,-16.20%
2452,Clarke,Georgia,-16.20%
2453,Richland,South Carolina,-16.30%
2454,Greenville,South Carolina,-16.50%
2455,Atlantic,New Jersey,-16.50%
2456,Monroe,Georgia,-16.50%
2457,Big Horn,Montana,-16.70%
2458,Washington,Mississippi,-16.80%
2459,Nome,Alaska,-16.90%
2460,Cumberland,North Carolina,-17.10%
2461,Spalding,Georgia,-17.10%
2462,Sunflower,Mississippi,-17.20%
2463,Baltimore City,Maryland,-17.30%
2464,Madison,Alabama,-17.80%
2465,Tunica,Mississippi,-18.00%
2466,Claiborne,Mississippi,-18.00%
2467,Horry,South Carolina,-18.20%
2468,Roanoke City,Virginia,-18.20%
2469,Coahoma,Mississippi,-18.80%
2470,Yazoo,Mississippi,-18.90%
2471,Glacier,Montana,-18.90%
2472,McKinley,New Mexico,-19.20%
2473,Orleans,Louisiana,-19.20%
2474,Genesee,Michigan,-19.50%
2475,Hinds,Mississippi,-21.50%
2476,Forsyth,North Carolina,-23.80%
2477,Todd,South Dakota,-31.60%
2478,Shannon,South Dakota,-34.70%
